Model	OriginalModel
VP-BF-180-06	GDS180-06
VP-BF-210-08	GDS210-08
VP-BF-210-10	GDS210-10
VP-BF-260-08	GDS260-08
VP-BF-300-08	GDS300-08
VP-BF-350-08	GDS350-08Y
VP-BF-130V-1012	GDSZ130-1012
VP-BF-210V-0810	GDSZ210-0810
VP-BF-160V-1012	GDSZ160-1012
VP-BF-260V-0810	GDSZ260-0810
HP-BS-150	TD-200A
HP-BS-220	TD-300A
VP-BS-150	TD-200L
VP-FTB-320	ZL-180P
VP-FTB-320H	ZL-180PH
VP-FTB-420	ZL-200P
VP-FTB-420H	ZL-200PH
VP-FTB-620	ZL-300P
VP-FTB-730	ZL-350P
VP-FTB-600	YL-400B
HP-FTB-BotF-E-350	SZ-350
HP-FTB-BotF-450S	SFS-420X
HP-FTB-BM-350	SZ-350
HP-FTB-600	ESS-600B
HP-FTB-BotF-700	ESS-700X
HP-FTB-220	SZ-100
HP-FTB-370	SZ-180Small
HP-FTB-370H	SZ-180Big
HP-FTB-420-BoxM	SW-60T
HP-FTB-H-420-BoxM	SW-60E
HP-FTB-H-570-BoxM	SW-80E
HP-FTB-600	SZ-280
HP-FTB-E-600-BoxM	SZ-280W
HP-FTB-400H	SZ-580
HP-FTB-H-600	SZ-602
HP-FTB-600-BoxM	SZ-602W
HP-FTB-750-BoxM	SZ-750W
HP-FTP-BotF-400	SZ-3000
HP-FTB-BotF-420-BoxM	SW-60X
HP-FTB-BotF-500-BoxM	SZ-80X
HP-FTB-BotF-E-600-BoxM	SZ-280XW
HP-FTB-BotF-E-600	SZ-280X
HP-FTB-BotF-H-600	SZ-601
HP-FTB-BotF-H-600-BoxM	SZ-601W
HP-FTB-BotF-750-BoxM	SZ-750XW
HP-FTB-BotF-H-900-BoxM	SZ-801W
